sentence_index,sentence_length,unks,uuas_sum,uuas_triu,uuas_tril,uuas_none
0,8,1,0.2,0.2,0.2,0.2
1,40,4,0.39473684210526316,0.3684210526315789,0.3684210526315789,0.34210526315789475
2,31,3,0.44,0.48,0.36,0.48
3,35,3,0.3939393939393939,0.3939393939393939,0.3333333333333333,0.42424242424242425
4,26,0,0.5217391304347826,0.4782608695652174,0.43478260869565216,0.43478260869565216
5,17,3,0.13333333333333333,0.13333333333333333,0.26666666666666666,0.26666666666666666
6,30,7,0.391304347826087,0.30434782608695654,0.34782608695652173,0.34782608695652173
7,6,1,0.25,0.5,0.5,0.5
8,7,2,0.25,0.25,0.25,0.25
9,36,6,0.2903225806451613,0.3225806451612903,0.22580645161290322,0.22580645161290322
10,25,4,0.4,0.3,0.4,0.45
11,16,2,0.23076923076923078,0.3076923076923077,0.3076923076923077,0.23076923076923078
12,17,2,0.42857142857142855,0.35714285714285715,0.42857142857142855,0.42857142857142855
13,28,1,0.4230769230769231,0.4230769230769231,0.3076923076923077,0.4230769230769231
14,42,5,0.3888888888888889,0.3333333333333333,0.3055555555555556,0.3888888888888889
15,15,2,0.5,0.3333333333333333,0.5,0.5833333333333334
16,13,1,0.7,0.5,0.4,0.5
17,8,2,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.3333333333333333
18,23,3,0.2,0.3,0.1,0.15
19,33,4,0.4074074074074074,0.2962962962962963,0.4074074074074074,0.4444444444444444
20,9,1,0.42857142857142855,0.7142857142857143,0.2857142857142857,0.42857142857142855
21,37,4,0.375,0.40625,0.3125,0.4375
22,28,6,0.45454545454545453,0.36363636363636365,0.36363636363636365,0.4090909090909091
23,24,7,0.17647058823529413,0.11764705882352941,0.23529411764705882,0.23529411764705882
24,26,3,0.47368421052631576,0.3684210526315789,0.3157894736842105,0.42105263157894735
25,13,0,0.45454545454545453,0.45454545454545453,0.36363636363636365,0.45454545454545453
26,28,6,0.4583333333333333,0.5416666666666666,0.3333333333333333,0.4166666666666667
27,22,3,0.4,0.4,0.3,0.45
28,12,0,0.5555555555555556,0.6666666666666666,0.1111111111111111,0.4444444444444444
29,4,1,1.0,1.0,1.0,1.0
30,22,6,0.2777777777777778,0.2777777777777778,0.3333333333333333,0.3888888888888889
31,47,6,0.1794871794871795,0.28205128205128205,0.3076923076923077,0.3076923076923077
32,5,0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333
33,24,2,0.5238095238095238,0.38095238095238093,0.42857142857142855,0.42857142857142855
34,28,3,0.43478260869565216,0.391304347826087,0.30434782608695654,0.43478260869565216
35,24,5,0.47368421052631576,0.5263157894736842,0.3684210526315789,0.47368421052631576
36,17,1,0.21428571428571427,0.35714285714285715,0.21428571428571427,0.21428571428571427
37,17,0,0.46153846153846156,0.3076923076923077,0.46153846153846156,0.38461538461538464
38,38,8,0.3548387096774194,0.25806451612903225,0.41935483870967744,0.3870967741935484
39,21,0,0.4444444444444444,0.5,0.3333333333333333,0.5
40,33,2,0.3448275862068966,0.3103448275862069,0.3448275862068966,0.3103448275862069
41,15,0,0.4166666666666667,0.3333333333333333,0.5833333333333334,0.3333333333333333
42,34,4,0.40625,0.28125,0.40625,0.4375
43,12,1,0.6,0.4,0.4,0.3
44,12,2,0.42857142857142855,0.2857142857142857,0.7142857142857143,0.5714285714285714
45,36,3,0.45161290322580644,0.2903225806451613,0.4838709677419355,0.45161290322580644
46,30,3,0.28,0.24,0.36,0.32
47,31,3,0.4,0.32,0.32,0.4
48,18,3,0.42857142857142855,0.2857142857142857,0.35714285714285715,0.2857142857142857
49,5,0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
50,15,3,0.15384615384615385,0.3076923076923077,0.07692307692307693,0.15384615384615385
51,22,4,0.375,0.3125,0.25,0.3125
52,26,2,0.3333333333333333,0.47619047619047616,0.47619047619047616,0.5714285714285714
