sentence_index,sentence_length,uuas_sum,uuas_triu,uuas_tril,uuas_none,proj_sum, proj_triu, proj_tril, proj_none,linear_baseline_score
0,37,0.35294117647058826,0.35294117647058826,0.3235294117647059,0.35294117647058826,0.4117647058823529,0.35294117647058826,0.35294117647058826,0.47058823529411764,0.47058823529411764
1,45,0.5,0.42105263157894735,0.39473684210526316,0.3684210526315789,0.5263157894736842,0.47368421052631576,0.4473684210526316,0.42105263157894735,0.4473684210526316
2,20,0.11764705882352941,0.35294117647058826,0.11764705882352941,0.23529411764705882,0.17647058823529413,0.29411764705882354,0.23529411764705882,0.17647058823529413,0.5294117647058824
3,37,0.3076923076923077,0.19230769230769232,0.34615384615384615,0.34615384615384615,0.3076923076923077,0.23076923076923078,0.4230769230769231,0.3076923076923077,0.46153846153846156
4,23,0.14285714285714285,0.09523809523809523,0.047619047619047616,0.09523809523809523,0.14285714285714285,0.14285714285714285,0.0,0.047619047619047616,0.5238095238095238
5,22,0.3,0.3,0.25,0.45,0.35,0.25,0.3,0.35,0.4
6,17,0.42857142857142855,0.2857142857142857,0.21428571428571427,0.42857142857142855,0.42857142857142855,0.35714285714285715,0.2857142857142857,0.42857142857142855,0.5
7,28,0.30434782608695654,0.21739130434782608,0.2608695652173913,0.2608695652173913,0.34782608695652173,0.13043478260869565,0.30434782608695654,0.34782608695652173,0.4782608695652174
8,34,0.4666666666666667,0.4666666666666667,0.43333333333333335,0.43333333333333335,0.5333333333333333,0.6,0.5333333333333333,0.4666666666666667,0.4666666666666667
9,23,0.17647058823529413,0.11764705882352941,0.17647058823529413,0.17647058823529413,0.17647058823529413,0.17647058823529413,0.17647058823529413,0.23529411764705882,0.4117647058823529
10,30,0.3333333333333333,0.4444444444444444,0.18518518518518517,0.37037037037037035,0.37037037037037035,0.5185185185185185,0.2222222222222222,0.37037037037037035,0.4074074074074074
11,29,0.12,0.2,0.16,0.24,0.12,0.2,0.12,0.16,0.4
12,23,0.16666666666666666,0.1111111111111111,0.2222222222222222,0.16666666666666666,0.16666666666666666,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.4444444444444444
13,13,0.5454545454545454,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.5454545454545454,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.45454545454545453
14,20,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.2222222222222222,0.16666666666666666,0.2777777777777778,0.3333333333333333,0.5
15,42,0.40540540540540543,0.40540540540540543,0.40540540540540543,0.3783783783783784,0.4594594594594595,0.5135135135135135,0.43243243243243246,0.43243243243243246,0.5675675675675675
16,44,0.3888888888888889,0.3611111111111111,0.3611111111111111,0.4166666666666667,0.3888888888888889,0.4166666666666667,0.4722222222222222,0.3611111111111111,0.4444444444444444
17,27,0.19047619047619047,0.19047619047619047,0.14285714285714285,0.19047619047619047,0.19047619047619047,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.7142857142857143
18,26,0.09090909090909091,0.18181818181818182,0.09090909090909091,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.2727272727272727,0.5909090909090909
19,15,0.15384615384615385,0.3076923076923077,0.15384615384615385,0.38461538461538464,0.15384615384615385,0.3076923076923077,0.15384615384615385,0.15384615384615385,0.46153846153846156
